Start Latitude,Start Longitude,Property Damage (USD),Diameter (m)
47.93,-97.4,0.1,91.44
46.68,-97.14,0.1,22.86
47.92,-97.26,0.1,91.44
43.3016,-93.63,15000.1,73.152
28.8989,-80.861,10000.1,137.16
43.226,-93.4139,0.1,27.432
41.6051,-85.0271,0.1,182.88
41.6138,-85.0163,0.1,342.9
42.4419,-91.6231,0.1,18.288
40.0844,-88.3192,80000.1,27.432
40.0677,-88.2952,20000.1,18.288
41,-96.16,0.1,9.144
40.9726,-96.018,0.1,68.58
40.9442,-96.0081,0.1,18.288
40.82,-95.8,0.1,9.144
40.3274,-96.0958,0.1,22.86
40.2228,-96.1757,0.1,18.288
35.34,-101.41,0.1,9.144
26.8496,-80.6396,0.1,4.572
35,-91.39,5000.1,18.288
41.7182,-76.6881,500000.1,228.6
40.5088,-78.6037,0.1,137.16
41.2436,-75.8467,5000000.1,137.16
48.8522,-99.5879,0.1,45.72
48.84,-99.47,0.1,182.88
48.74,-99.28,0.1,228.6
48.62,-98.94,0.1,182.88
35.2328,-90.9143,0.1,68.58
43.4359,-89.3507,2000.1,45.72
44.6349,-98.7958,0.1,9.144
44.6348,-98.7371,0.1,9.144
41.07,-102.197,125000.1,148.1328
41,-102.29,0.1,45.72
41.18,-101.93,0.1,9.144
41.36,-101.36,0.1,9.144
41.402,-101.263,60000.1,178.308
44.15,-72,0.1,22.86
44.08,-71.72,0.1,18.288
31.5662,-90.3774,75000.1,22.86
41.01,-95.8,0.1,45.72
41.93,-97.1,0.1,45.72
41.95,-96.49,0.1,45.72
40.03,-104.36,0.1,45.72
41.56,-104.98,0.1,22.86
41.4758,-104.9032,0.1,22.86
40.172,-99.2619,0.1,32.004
39.35,-103.65,0.1,45.72
39.27,-103.69,0.1,45.72
39.31,-103.41,0.1,45.72
37.9307,-103.5487,0.1,27.432
41.8284,-94.1545,5000.1,91.44
42.0528,-94.568,0.1,36.576
41.3082,-92.305,0.1,45.72
42.2165,-94.1503,0.1,27.432
42.3439,-93.0509,0.1,27.432
41.0139,-92.6143,0.1,27.432
43.8712,-113.491,3000.1,73.152
40.67,-88.93,0.1,18.288
36.7199,-89.8014,0.1,182.88
40.7955,-84.5452,0.1,164.592
36.6573,-103.4099,0.1,36.576
34.8513,-85.6197,0.1,228.6
34.2415,-87.1344,0.1,237.744
34.7521,-85.2635,10000.1,137.16
36.66,-100.72,0.1,9.144
35.448,-100.299,0.1,45.72
47.6277,-110.8019,0.1,45.72
44,-98.06,0.1,45.72
37.03,-88.3418,1000.1,18.288
40.6782,-107.0586,0.1,27.432
40.54,-106.5,0.1,45.72
34.74,-96.62,1000.1,9.144
44.41,-96.15,0.1,45.72
45.78,-97.05,0.1,4.572
40.5966,-97.5389,0.1,22.86
40.6153,-97.5195,0.1,32.004
40.5959,-97.5297,0.1,22.86
40.5981,-97.6136,0.1,32.004
37.3849,-86.9283,300000.1,91.44
37.322,-86.2472,0.1,45.72
40.6618,-94.3381,0.1,36.576
37.9334,-88.3673,20000.1,91.44
42.62,-90.51,0.1,9.144
42.7752,-90.4105,1000.1,36.576
